,links2,brand_names,product_names,p_id,ratings,price,total_shades,total_reviews,loves,shades_names,img,hot_shade
239,https://www.sephora.com/product/lipsetter-dual-lipstick-liner-P421614?icid2=products%20grid:p421614:product,WANDER BEAUTY,Lipsetter Dual Lipstick and Liner,P421614,4.5 stars,$28.00,5,19,3663,"['Bahama Breeze pinky nude', 'On the Mauve mauve', 'Bold in Beijing red', 'Fuschia Class fuschia', 'Midnight Malbec deep violet']",https://www.sephora.com/productimages/sku/s1970797-main-Lhero.jpg,"['Bahama Breeze pinky nude', 'Bold in Beijing red', 'On the Mauve mauve']"
240,https://www.sephora.com/product/liquid-velvet-tm-moisturizing-matte-liquid-lipstick-P393859?icid2=products%20grid:p393859:product,CIATÉ LONDON,Liquid Velvet™ - Moisturizing Matte Liquid Lipstick,P393859,4 stars,$19.00,20,670,46416,"['Secrets light fawn', 'Oh Honey! rust brown', 'Delight dusky nude', 'Wonderland Dusty Nude Rose', 'Smitten rose pink', 'Swoon nude', 'Starlet red', 'Diva true red', 'Fast Lane bold watermelon', 'Kiss Me Quick baby doll pink', 'Sass Pot bright pink', 'Head Over Heels bright fuchsia berry', 'Chatterbox deep mauve magenta', 'Pin Up a universally flattering berry', 'Gossip lavender taupe', 'Bitter Sweet grey mink', 'Dazed taupe', 'Obsession dark chocolate', 'Voodoo black cherry', 'Envy deep teal']",https://www.sephora.com/productimages/sku/s1904192-main-Lhero.jpg,"['Pin Up a universally flattering berry', 'Smitten rose pink', 'Swoon nude']"
241,https://www.sephora.com/product/le-rouge-lipstick-couture-edition-P431812?icid2=products%20grid:p431812:product,GIVENCHY,Le Rouge Lipstick - Couture Edition,P431812,4.5 stars,$40.00,1,13,0,['2018 Rouge Couture Edition - N315 Framboise deep berry plum'],https://www.sephora.com/productimages/sku/s2072874-main-Lhero.jpg,['2018 Rouge Couture Edition - N315 Framboise deep berry plum']
242,https://www.sephora.com/product/7-dwarfs-mini-lipstick-set-P427704?icid2=products%20grid:p427704:product,BÉSAME COSMETICS,7 Dwarfs Mini Lipstick Set,P427704,3 stars,$35.00,0,22,4794,[],https://www.sephora.com/productimages/sku/s2010833-main-Lhero.jpg, N/A 
243,https://www.sephora.com/product/melted-latex-liquified-high-shine-lipstick-P420167?skuId=1958776&icid2=products%20grid:p420167:product,TOO FACED,Melted Latex Liquified High Shine Lipstick,P420167,3.5 stars,$21.00,1,757,78986,['Unicorn Tears Iridescent Shimmer'],https://www.sephora.com/productimages/sku/s1958776-main-Lhero.jpg,['Unicorn Tears Iridescent Shimmer']
244,https://www.sephora.com/product/matte-color-shiny-balm-lip-crayon-P416380?icid2=products%20grid:p416380:product,TRÈSTIQUE,Matte Color & Shiny Balm Lip Crayon,P416380,4.5 stars,$25.00,6,52,6723,"['Nantucket Nude nude', 'Nammos Pink pink', 'Barcelona Bright Berry fuchsia', 'Belize Bordeaux berry', 'Chile Red red', 'Tuscan Wine wine']",https://www.sephora.com/productimages/sku/s1901362-main-Lhero.jpg,"['Tuscan Wine wine', 'Nammos Pink pink', 'Nantucket Nude nude']"
245,https://www.sephora.com/product/bury-them-with-smile-matte-lipstick-P418015?icid2=products%20grid:p418015:product,PRETTY VULGAR,Bury Them With A Smile Matte Lipstick,P418015,4.5 stars,$24.00,8,29,16487,"['Prim and Proper nude', 'Baby Doll Against BS pale pink', 'Back Stabber dark mauve', 'Blood Flower red', 'Mood Swing hot pink', 'Darling Be Daring fuchsia', 'If Kisses Could Kill wine', 'Honest Truth black plum']",https://www.sephora.com/productimages/sku/s1950542-main-Lhero.jpg,"['Prim and Proper nude', 'If Kisses Could Kill wine']"
246,https://www.sephora.com/product/lip-art-mini-art-stick-liquid-lip-set-P417990?icid2=products%20grid:p417990:product,BOBBI BROWN,Lip Art Mini Art Stick Liquid Lip Set,P417990,3.5 stars,$22.00,1,23,5045,[''],https://www.sephora.com/productimages/sku/s1935857-main-Lhero.jpg, N/A 
247,https://www.sephora.com/product/jet-set-lip-set-P434017?icid2=products%20grid:p434017:product,JOUER COSMETICS,Jet-Set Lip Set,P434017,3.5 stars,$25.00,2,21,9808,"['Le Perle', 'Le Nude']",https://www.sephora.com/productimages/sku/s2125169-main-Lhero.jpg,"['Le Nude', 'Le Perle']"
248,https://www.sephora.com/product/astrology-by-bite-limited-edition-amuse-bouche-lipstick-sagittarius-P438346?icid2=products%20grid:p438346:product,BITE BEAUTY,Astrology by Bite Limited Edition Amuse Bouche Lipstick - Sagittarius,P438346,5 stars,$26.00,0,6,1237,[],https://www.sephora.com/productimages/sku/s2157907-main-Lhero.jpg, N/A 
249,https://www.sephora.com/product/matte-liquid-lipcolor-P416363?icid2=products%20grid:p416363:product,BLACK UP,Matte Liquid Lipcolor,P416363,4 stars, ,10,12,6300,"['2 orange', '3 fuschia pink', '4 purple', '7 brown almost black', '8 plum', '9 dark blue', '10 pearly pink', '11 metal grey', '12 deep green', '16 light plum']",https://www.sephora.com/productimages/sku/s1908631-main-Lhero.jpg,"['10 pearly pink', '7 brown almost black', '9 dark blue']"
250,https://www.sephora.com/product/rouge-interdit-satin-lipstick-rouge-revelateur-P433843?icid2=products%20grid:p433843:product,GIVENCHY,Rouge Interdit Satin Lipstick - Marble,P433843,4.5 stars,$34.00,1,8,3285,['27 Rose Révélateur made-to-measure dark pink'],https://www.sephora.com/productimages/sku/s2104966-main-Lhero.jpg, N/A 
